SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628398,0022201059,"MAR 18, 2023",WAS vs. SAC,L,32,12,23,0.522,4,11,0.364,5,6,0.833,0,7,7,3,1,0,0,1,33,-25,1
22022,1628398,0022201049,"MAR 17, 2023",WAS @ CLE,L,25,3,7,0.429,1,3,0.333,0,0,0.0,0,2,2,1,1,1,4,5,7,-22,1
22022,1628398,0022201016,"MAR 12, 2023",WAS @ PHI,L,30,4,14,0.286,1,5,0.2,3,4,0.75,1,10,11,4,1,0,2,1,12,-22,1
22022,1628398,0022200999,"MAR 10, 2023",WAS vs. ATL,L,40,7,12,0.583,1,3,0.333,2,4,0.5,0,5,5,3,0,0,4,1,17,4,1
22022,1628398,0022200985,"MAR 08, 2023",WAS vs. ATL,L,35,10,15,0.667,2,7,0.286,3,4,0.75,1,9,10,6,2,0,4,1,25,5,1
22022,1628398,0022200769,"MAR 07, 2023",WAS @ DET,W,35,9,20,0.45,3,8,0.375,2,2,1.0,0,3,3,2,2,1,3,0,23,6,1
22022,1628398,0022200956,"MAR 04, 2023",WAS vs. TOR,L,42,5,12,0.417,2,5,0.4,4,4,1.0,0,6,6,1,0,0,5,4,16,-6,1
22022,1628398,0022200942,"MAR 02, 2023",WAS vs. TOR,W,35,10,24,0.417,4,9,0.444,6,8,0.75,1,4,5,5,1,0,3,0,30,9,1
22022,1628398,0022200923,"FEB 28, 2023",WAS @ ATL,W,37,10,26,0.385,2,7,0.286,6,7,0.857,1,2,3,1,1,1,2,2,28,5,1
22022,1628398,0022200912,"FEB 26, 2023",WAS @ CHI,L,38,4,18,0.222,1,8,0.125,1,2,0.5,0,4,4,3,0,0,3,4,10,-22,1
22022,1628398,0022200895,"FEB 24, 2023",WAS vs. NYK,L,41,10,23,0.435,3,12,0.25,0,0,0.0,0,5,5,3,1,0,4,3,23,-8,1
22022,1628398,0022200884,"FEB 16, 2023",WAS @ MIN,W,35,6,21,0.286,4,13,0.308,0,0,0.0,2,5,7,1,1,1,4,1,16,3,1
22022,1628398,0022200872,"FEB 14, 2023",WAS @ POR,W,36,11,20,0.55,6,10,0.6,5,6,0.833,1,8,9,2,0,1,3,1,33,18,1
22022,1628398,0022200793,"FEB 04, 2023",WAS @ BKN,L,11,0,6,0.0,0,1,0.0,2,2,1.0,0,2,2,5,0,0,0,1,2,11,1
22022,1628398,0022200787,"FEB 03, 2023",WAS vs. POR,L,37,4,11,0.364,0,5,0.0,4,4,1.0,1,10,11,6,0,1,2,3,12,-4,1
22022,1628398,0022200760,"JAN 30, 2023",WAS @ SAS,W,32,5,11,0.455,1,3,0.333,5,6,0.833,0,6,6,3,0,0,5,2,16,5,1
22022,1628398,0022200747,"JAN 28, 2023",WAS @ NOP,W,38,4,13,0.308,2,9,0.222,0,0,0.0,0,9,9,5,1,1,2,2,10,4,1
22022,1628398,0022200722,"JAN 25, 2023",WAS @ HOU,W,41,12,25,0.48,5,13,0.385,4,5,0.8,1,8,9,2,1,1,2,1,33,6,1
22022,1628398,0022200717,"JAN 24, 2023",WAS @ DAL,W,37,12,23,0.522,2,10,0.2,4,5,0.8,0,5,5,2,0,1,3,2,30,8,1
22022,1628398,0022200693,"JAN 21, 2023",WAS vs. ORL,W,32,9,20,0.45,5,11,0.455,2,6,0.333,1,9,10,6,0,1,1,0,25,19,1
22022,1628398,0022200669,"JAN 18, 2023",WAS @ NYK,W,36,11,24,0.458,4,12,0.333,1,3,0.333,3,10,13,7,1,1,4,3,27,20,1
22022,1628398,0022200660,"JAN 16, 2023",WAS vs. GSW,L,40,5,20,0.25,4,12,0.333,2,4,0.5,3,8,11,5,1,0,6,2,16,-15,1
22022,1628398,0022200634,"JAN 13, 2023",WAS vs. NYK,L,40,14,27,0.519,4,10,0.4,8,9,0.889,1,6,7,7,0,1,3,2,40,-1,1
22022,1628398,0022200619,"JAN 11, 2023",WAS vs. CHI,W,38,9,20,0.45,1,4,0.25,2,3,0.667,0,4,4,3,0,0,2,3,21,11,1
22022,1628398,0022200605,"JAN 09, 2023",WAS vs. NOP,L,23,6,13,0.462,3,8,0.375,4,4,1.0,2,6,8,2,0,0,5,6,19,-15,1
22022,1628398,0022200584,"JAN 06, 2023",WAS @ OKC,L,37,7,14,0.5,2,5,0.4,7,8,0.875,1,4,5,7,1,0,6,3,23,-15,1
22022,1628398,0022200561,"JAN 03, 2023",WAS @ MIL,L,34,10,28,0.357,0,6,0.0,0,0,0.0,1,3,4,2,0,2,2,1,20,-16,1
22022,1628398,0022200548,"JAN 01, 2023",WAS @ MIL,W,33,5,16,0.313,0,2,0.0,0,1,0.0,1,12,13,11,0,0,5,3,10,17,1
22022,1628398,0022200529,"DEC 30, 2022",WAS @ ORL,W,31,9,16,0.563,4,8,0.5,1,2,0.5,0,5,5,6,0,1,8,1,23,14,1
22022,1628398,0022200516,"DEC 28, 2022",WAS vs. PHX,W,36,8,17,0.471,2,4,0.5,4,4,1.0,0,5,5,7,1,0,1,2,22,34,1
22022,1628398,0022200506,"DEC 27, 2022",WAS vs. PHI,W,38,4,13,0.308,2,9,0.222,4,5,0.8,0,8,8,1,0,0,4,1,14,11,1
22022,1628398,0022200491,"DEC 23, 2022",WAS @ SAC,W,37,14,23,0.609,2,8,0.25,2,3,0.667,1,8,9,5,2,0,1,1,32,11,1
22022,1628398,0022200478,"DEC 22, 2022",WAS @ UTA,L,34,8,18,0.444,2,5,0.4,3,4,0.75,1,4,5,2,1,0,2,1,21,-21,1
22022,1628398,0022200464,"DEC 20, 2022",WAS @ PHX,W,37,10,19,0.526,5,10,0.5,4,6,0.667,0,6,6,6,2,0,2,0,29,7,1
22022,1628398,0022200451,"DEC 18, 2022",WAS @ LAL,L,40,9,18,0.5,3,9,0.333,1,2,0.5,2,14,16,2,1,1,3,3,22,-4,1
22022,1628398,0022200438,"DEC 17, 2022",WAS @ LAC,L,39,8,18,0.444,1,6,0.167,0,0,0.0,0,6,6,2,1,1,3,4,17,-9,1
22022,1628398,0022200422,"DEC 14, 2022",WAS @ DEN,L,36,9,16,0.563,4,8,0.5,2,6,0.333,0,2,2,4,0,0,3,4,24,-24,1
22022,1628398,0022200403,"DEC 12, 2022",WAS vs. BKN,L,39,8,21,0.381,4,10,0.4,0,4,0.0,2,5,7,3,0,1,4,2,20,-3,1
22022,1628398,0022200389,"DEC 10, 2022",WAS vs. LAC,L,38,14,27,0.519,7,11,0.636,0,0,0.0,2,10,12,3,1,0,6,2,35,-5,1
22022,1628398,0022200378,"DEC 09, 2022",WAS @ IND,L,36,9,20,0.45,4,9,0.444,5,6,0.833,2,5,7,7,0,0,3,2,27,-13,1
22022,1628398,0022200367,"DEC 07, 2022",WAS @ CHI,L,38,8,18,0.444,2,5,0.4,3,4,0.75,0,5,5,1,2,0,3,1,21,-12,1
22022,1628398,0022200349,"DEC 04, 2022",WAS vs. LAL,L,32,10,21,0.476,1,7,0.143,5,6,0.833,3,4,7,4,2,1,6,6,26,-10,1
22022,1628398,0022200326,"DEC 02, 2022",WAS @ CHA,L,33,6,14,0.429,2,5,0.4,0,0,0.0,0,4,4,3,0,1,1,2,14,-5,1
22022,1628398,0022200315,"NOV 30, 2022",WAS @ BKN,L,40,10,25,0.4,2,8,0.25,3,4,0.75,1,3,4,3,0,1,1,4,25,0,1
22022,1628398,0022200300,"NOV 28, 2022",WAS vs. MIN,W,31,9,16,0.563,4,7,0.571,1,2,0.5,1,7,8,9,0,0,0,4,23,28,1
22022,1628398,0022200277,"NOV 25, 2022",WAS @ MIA,L,39,11,22,0.5,3,10,0.3,3,3,1.0,3,4,7,5,1,0,3,2,28,-5,1
22022,1628398,0022200265,"NOV 23, 2022",WAS @ MIA,L,40,13,27,0.481,2,13,0.154,5,7,0.714,0,7,7,1,1,0,0,1,33,-9,1
22022,1628398,0022200241,"NOV 20, 2022",WAS vs. CHA,W,38,10,19,0.526,4,9,0.444,4,5,0.8,1,9,10,5,0,0,4,2,28,7,1
22022,1628398,0022200224,"NOV 18, 2022",WAS vs. MIA,W,40,9,24,0.375,2,12,0.167,1,3,0.333,0,8,8,5,1,0,4,2,21,1,1
22022,1628398,0022200213,"NOV 16, 2022",WAS vs. OKC,L,39,7,15,0.467,3,8,0.375,1,1,1.0,2,8,10,9,1,0,7,3,18,13,1
22022,1628398,0022200194,"NOV 13, 2022",WAS vs. MEM,W,34,4,13,0.308,1,7,0.143,0,1,0.0,1,10,11,3,0,0,4,1,9,10,1
22022,1628398,0022200185,"NOV 12, 2022",WAS vs. UTA,W,33,8,19,0.421,1,7,0.143,6,7,0.857,1,7,8,6,0,0,4,2,23,12,1
22022,1628398,0022200172,"NOV 10, 2022",WAS vs. DAL,W,41,14,26,0.538,5,11,0.455,3,3,1.0,2,9,11,6,1,0,4,2,36,-2,1
22022,1628398,0022200144,"NOV 07, 2022",WAS @ CHA,W,31,9,16,0.563,1,3,0.333,1,5,0.2,0,6,6,1,0,1,2,0,20,10,1
22022,1628398,0022200142,"NOV 06, 2022",WAS @ MEM,L,34,5,14,0.357,2,9,0.222,0,0,0.0,2,9,11,2,0,1,3,3,12,-5,1
22022,1628398,0022200123,"NOV 04, 2022",WAS vs. BKN,L,24,5,12,0.417,3,8,0.375,6,8,0.75,0,5,5,2,0,0,1,2,19,-22,1
22022,1628398,0022200108,"NOV 02, 2022",WAS @ PHI,W,31,8,12,0.667,2,5,0.4,0,0,0.0,2,6,8,4,0,0,4,4,18,2,1
22022,1628398,0022200097,"OCT 31, 2022",WAS vs. PHI,L,33,3,5,0.6,1,1,1.0,2,2,1.0,1,6,7,2,0,1,1,3,9,6,1
22022,1628398,0022200089,"OCT 30, 2022",WAS @ BOS,L,28,3,13,0.231,1,5,0.2,2,2,1.0,1,7,8,1,1,0,0,3,9,-20,1
22022,1628398,0022200074,"OCT 28, 2022",WAS vs. IND,L,37,7,19,0.368,3,7,0.429,1,1,1.0,0,9,9,3,1,0,3,4,18,2,1
22022,1628398,0022200052,"OCT 25, 2022",WAS vs. DET,W,27,9,17,0.529,0,5,0.0,7,8,0.875,0,6,6,1,0,1,3,4,25,23,1
22022,1628398,0022200039,"OCT 23, 2022",WAS @ CLE,L,37,4,8,0.5,1,2,0.5,2,4,0.5,0,2,2,3,0,2,0,4,11,-5,1
22022,1628398,0022200019,"OCT 21, 2022",WAS vs. CHI,W,34,8,16,0.5,4,8,0.5,6,7,0.857,1,5,6,2,0,0,1,1,26,6,1
22022,1628398,0022200004,"OCT 19, 2022",WAS @ IND,W,35,8,19,0.421,3,10,0.3,3,5,0.6,1,12,13,2,0,2,2,4,22,7,1
22021,1628398,0022101050,"MAR 18, 2022",WAS @ NYK,L,35,6,17,0.353,4,9,0.444,2,4,0.5,1,4,5,9,0,1,4,5,18,3,1
22021,1628398,0022101035,"MAR 16, 2022",WAS vs. DEN,L,27,3,10,0.3,0,3,0.0,0,0,0.0,1,8,9,7,1,0,2,1,6,-22,1
22021,1628398,0022101025,"MAR 14, 2022",WAS @ GSW,L,31,4,12,0.333,1,6,0.167,2,2,1.0,1,7,8,3,0,0,3,3,11,-16,1
22021,1628398,0022101011,"MAR 12, 2022",WAS @ POR,L,30,7,17,0.412,4,8,0.5,4,4,1.0,1,2,3,3,0,1,4,2,22,-20,1
22021,1628398,0022101004,"MAR 11, 2022",WAS @ LAL,L,32,9,18,0.5,2,6,0.333,3,9,0.333,2,5,7,3,0,0,4,1,23,-18,1
22021,1628398,0022100992,"MAR 09, 2022",WAS @ LAC,L,33,8,16,0.5,1,4,0.25,0,0,0.0,0,6,6,4,1,0,3,2,17,-6,1
22021,1628398,0022100963,"MAR 06, 2022",WAS vs. IND,W,36,8,17,0.471,2,7,0.286,5,7,0.714,0,5,5,8,1,2,1,1,23,21,1
22021,1628398,0022100948,"MAR 04, 2022",WAS vs. ATL,L,35,9,21,0.429,0,6,0.0,4,4,1.0,0,5,5,11,0,2,4,4,22,9,1
22021,1628398,0022100926,"MAR 01, 2022",WAS vs. DET,W,34,7,15,0.467,1,5,0.2,6,6,1.0,2,7,9,6,0,2,5,4,21,-12,1
22021,1628398,0022100907,"FEB 26, 2022",WAS @ CLE,L,39,13,22,0.591,8,11,0.727,0,0,0.0,0,13,13,2,1,2,4,1,34,-5,1
22021,1628398,0022100899,"FEB 25, 2022",WAS vs. SAS,L,46,13,27,0.481,3,5,0.6,7,8,0.875,0,8,8,7,2,1,1,3,36,6,1
22021,1628398,0022100464,"FEB 17, 2022",WAS @ BKN,W,30,2,7,0.286,0,3,0.0,1,1,1.0,0,7,7,5,1,0,8,3,5,10,1
22021,1628398,0022100876,"FEB 16, 2022",WAS @ IND,L,38,9,27,0.333,6,12,0.5,2,2,1.0,3,12,15,6,1,0,3,1,26,5,1
22021,1628398,0022100858,"FEB 14, 2022",WAS vs. DET,W,38,10,18,0.556,1,4,0.25,2,3,0.667,0,7,7,2,0,1,4,1,23,11,1
22021,1628398,0022100847,"FEB 12, 2022",WAS vs. SAC,L,35,7,14,0.5,2,6,0.333,6,8,0.75,2,6,8,7,1,1,2,1,22,-9,1
22021,1628398,0022100832,"FEB 10, 2022",WAS vs. BKN,W,38,6,15,0.4,1,5,0.2,2,2,1.0,0,13,13,10,0,0,6,4,15,0,1
22021,1628398,0022100811,"FEB 07, 2022",WAS vs. MIA,L,27,4,9,0.444,1,5,0.2,3,3,1.0,0,2,2,2,0,0,2,1,12,-35,1
22021,1628398,0022100798,"FEB 05, 2022",WAS vs. PHX,L,24,3,12,0.25,1,5,0.2,2,3,0.667,0,6,6,1,0,2,0,0,9,-27,1
22021,1628398,0022100774,"FEB 02, 2022",WAS @ PHI,W,35,10,19,0.526,4,6,0.667,0,0,0.0,1,6,7,3,1,3,1,1,24,8,1
22021,1628398,0022100768,"FEB 01, 2022",WAS @ MIL,L,35,9,19,0.474,3,8,0.375,4,6,0.667,3,8,11,2,1,3,2,0,25,-20,1
22021,1628398,0022100749,"JAN 29, 2022",WAS @ MEM,L,36,11,17,0.647,4,8,0.5,4,6,0.667,2,6,8,3,3,1,5,0,30,-16,1
22021,1628398,0022100716,"JAN 25, 2022",WAS vs. LAC,L,35,6,14,0.429,1,5,0.2,6,8,0.75,2,10,12,3,1,1,4,1,19,3,1
22021,1628398,0022100699,"JAN 23, 2022",WAS vs. BOS,L,24,4,11,0.364,2,3,0.667,2,4,0.5,3,4,7,1,0,1,2,0,12,-29,1
22021,1628398,0022100669,"JAN 19, 2022",WAS vs. BKN,L,31,5,11,0.455,1,2,0.5,5,6,0.833,2,4,6,0,1,1,5,4,16,-8,1
22021,1628398,0022100656,"JAN 17, 2022",WAS vs. PHI,W,29,6,13,0.462,1,3,0.333,2,4,0.5,1,15,16,4,1,3,1,1,15,19,1
22021,1628398,0022100642,"JAN 15, 2022",WAS vs. POR,L,37,7,18,0.389,0,4,0.0,2,2,1.0,4,8,12,2,0,2,5,2,16,-14,1
22021,1628398,0022100620,"JAN 12, 2022",WAS vs. ORL,W,35,7,11,0.636,2,3,0.667,3,4,0.75,1,9,10,9,0,1,5,2,19,3,1
22021,1628398,0022100612,"JAN 11, 2022",WAS vs. OKC,W,35,12,17,0.706,1,4,0.25,4,7,0.571,0,5,5,3,0,1,1,0,29,8,1
22021,1628398,0022100598,"JAN 09, 2022",WAS @ ORL,W,38,10,19,0.526,3,6,0.5,4,6,0.667,2,20,22,1,0,0,3,0,27,9,1
22021,1628398,0022100585,"JAN 07, 2022",WAS @ CHI,L,35,7,17,0.412,0,4,0.0,7,8,0.875,1,10,11,2,2,1,4,3,21,-12,1
22021,1628398,0022100569,"JAN 05, 2022",WAS vs. HOU,L,44,9,20,0.45,0,8,0.0,6,8,0.75,2,7,9,2,1,1,4,5,24,-6,1
22021,1628398,0022100553,"JAN 03, 2022",WAS vs. CHA,W,41,13,26,0.5,6,11,0.545,4,4,1.0,3,11,14,6,1,0,5,1,36,5,1
22021,1628398,0022100541,"JAN 01, 2022",WAS vs. CHI,L,40,12,18,0.667,2,5,0.4,3,5,0.6,0,12,12,3,2,0,3,3,29,4,1
22021,1628398,0022100527,"DEC 30, 2021",WAS vs. CLE,W,34,11,17,0.647,1,4,0.25,2,5,0.4,1,9,10,2,0,1,1,0,25,18,1
22021,1628398,0022100509,"DEC 28, 2021",WAS @ MIA,L,34,8,19,0.421,2,6,0.333,4,4,1.0,0,7,7,3,0,0,2,2,22,-8,1
22021,1628398,0022100495,"DEC 26, 2021",WAS vs. PHI,L,29,4,11,0.364,1,4,0.25,3,6,0.5,0,10,10,3,0,1,0,1,12,-23,1
22021,1628398,0022100480,"DEC 23, 2021",WAS @ NYK,W,33,7,16,0.438,2,8,0.25,2,2,1.0,1,9,10,2,1,1,2,4,18,15,1
22021,1628398,0022100447,"DEC 18, 2021",WAS @ UTA,W,24,4,12,0.333,0,6,0.0,0,0,0.0,2,1,3,1,2,1,0,4,8,-7,1
22021,1628398,0022100432,"DEC 16, 2021",WAS @ PHX,L,27,2,6,0.333,0,2,0.0,0,2,0.0,1,2,3,3,0,0,0,1,4,-33,1
22021,1628398,0022100427,"DEC 15, 2021",WAS @ SAC,L,33,3,10,0.3,0,3,0.0,0,0,0.0,0,3,3,4,0,1,1,0,6,-10,1
22021,1628398,0022100368,"DEC 08, 2021",WAS @ DET,W,39,8,18,0.444,4,10,0.4,6,7,0.857,4,3,7,4,1,0,3,2,26,2,1
22021,1628398,0022100355,"DEC 06, 2021",WAS @ IND,L,39,6,12,0.5,2,4,0.5,0,0,0.0,0,4,4,2,1,1,1,1,14,1,1
22021,1628398,0022100351,"DEC 05, 2021",WAS @ TOR,L,30,4,11,0.364,1,5,0.2,0,0,0.0,0,7,7,4,1,1,0,2,9,5,1
22021,1628398,0022100334,"DEC 03, 2021",WAS vs. CLE,L,23,4,10,0.4,2,6,0.333,2,2,1.0,0,4,4,3,0,0,1,0,12,-32,1
22021,1628398,0022100321,"DEC 01, 2021",WAS vs. MIN,W,32,2,6,0.333,1,3,0.333,0,0,0.0,0,6,6,5,1,3,2,3,5,1,1
22021,1628398,0022100311,"NOV 29, 2021",WAS @ SAS,L,33,5,9,0.556,1,3,0.333,2,2,1.0,0,5,5,3,0,0,1,3,13,-11,1
22021,1628398,0022100298,"NOV 27, 2021",WAS @ DAL,W,35,7,14,0.5,3,6,0.5,5,5,1.0,0,9,9,4,1,0,4,2,22,9,1
22021,1628398,0022100286,"NOV 26, 2021",WAS @ OKC,W,33,5,9,0.556,1,3,0.333,0,0,0.0,1,9,10,5,0,0,4,3,11,-3,1
22021,1628398,0022100275,"NOV 24, 2021",WAS @ NOP,L,28,2,4,0.5,0,1,0.0,3,3,1.0,0,5,5,4,0,0,4,3,7,-13,1
22021,1628398,0022100254,"NOV 22, 2021",WAS vs. CHA,L,31,5,12,0.417,1,4,0.25,0,0,0.0,3,10,13,5,0,1,4,3,11,-14,1
22021,1628398,0022100241,"NOV 20, 2021",WAS vs. MIA,W,30,1,5,0.2,0,1,0.0,4,6,0.667,4,7,11,1,0,1,1,2,6,-4,1
22021,1628398,0022100225,"NOV 18, 2021",WAS @ MIA,L,40,7,12,0.583,4,9,0.444,1,2,0.5,0,13,13,7,1,0,3,2,19,-12,1
22021,1628398,0022100213,"NOV 17, 2021",WAS @ CHA,L,30,2,12,0.167,1,8,0.125,0,0,0.0,1,4,5,3,1,2,1,1,5,-14,1
22021,1628398,0022100201,"NOV 15, 2021",WAS vs. NOP,W,31,2,10,0.2,2,7,0.286,2,2,1.0,0,8,8,2,0,0,0,4,8,1,1
22021,1628398,0022100187,"NOV 13, 2021",WAS @ ORL,W,35,6,14,0.429,3,10,0.3,2,4,0.5,0,10,10,1,1,2,3,1,17,-2,1
22021,1628398,0022100158,"NOV 10, 2021",WAS @ CLE,W,35,8,14,0.571,6,9,0.667,0,0,0.0,0,5,5,1,1,1,3,2,22,3,1
22021,1628398,0022100142,"NOV 07, 2021",WAS vs. MIL,W,30,6,11,0.545,3,8,0.375,0,0,0.0,0,10,10,5,0,1,3,2,15,2,1
22021,1628398,0022100126,"NOV 05, 2021",WAS vs. MEM,W,25,5,10,0.5,3,4,0.75,0,0,0.0,0,6,6,3,0,0,1,1,13,17,1
22021,1628398,0022100112,"NOV 03, 2021",WAS vs. TOR,L,21,1,10,0.1,0,5,0.0,0,0,0.0,0,2,2,1,0,1,0,1,2,-13,1
22021,1628398,0022100097,"NOV 01, 2021",WAS @ ATL,L,34,7,15,0.467,4,9,0.444,0,0,0.0,1,5,6,2,0,0,2,4,18,-7,1
22021,1628398,0022100078,"OCT 30, 2021",WAS vs. BOS,W,48,6,14,0.429,2,4,0.5,3,7,0.429,3,14,17,1,0,2,2,4,17,-3,1
22021,1628398,0022100066,"OCT 28, 2021",WAS vs. ATL,W,40,8,17,0.471,2,6,0.333,3,6,0.5,1,7,8,0,3,0,0,1,21,9,1
22021,1628398,0022100056,"OCT 27, 2021",WAS @ BOS,W,33,4,11,0.364,1,5,0.2,3,6,0.5,3,5,8,2,2,1,1,4,12,-2,1
22021,1628398,0022100044,"OCT 25, 2021",WAS @ BKN,L,27,3,11,0.273,0,5,0.0,0,0,0.0,2,10,12,2,0,0,2,2,6,-12,1
22021,1628398,0022100019,"OCT 22, 2021",WAS vs. IND,W,39,10,17,0.588,5,8,0.625,1,2,0.5,2,9,11,2,1,0,2,0,26,-12,1
22021,1628398,0022100006,"OCT 20, 2021",WAS @ TOR,W,35,4,13,0.308,2,9,0.222,1,2,0.5,0,15,15,3,1,1,5,2,11,22,1
22020,1628398,0022001072,"MAY 16, 2021",LAL @ NOP,W,27,3,5,0.6,0,0,0.0,2,2,1.0,0,6,6,3,0,0,0,0,8,7,1
22020,1628398,0022001061,"MAY 15, 2021",LAL @ IND,W,22,2,4,0.5,1,2,0.5,1,2,0.5,0,1,1,1,0,0,2,0,6,-4,1
22020,1628398,0022001046,"MAY 12, 2021",LAL vs. HOU,W,32,8,12,0.667,1,3,0.333,2,5,0.4,0,10,10,7,1,1,3,4,19,3,1
22020,1628398,0022001041,"MAY 11, 2021",LAL vs. NYK,W,33,9,17,0.529,4,8,0.5,1,1,1.0,2,1,3,0,1,0,1,3,23,-11,1
22020,1628398,0022001010,"MAY 07, 2021",LAL @ POR,L,33,2,11,0.182,0,6,0.0,0,0,0.0,1,4,5,1,0,0,3,3,4,3,1
22020,1628398,0022001002,"MAY 06, 2021",LAL @ LAC,L,31,9,19,0.474,3,10,0.3,4,4,1.0,0,5,5,4,2,1,1,3,25,2,1
22020,1628398,0022000982,"MAY 03, 2021",LAL vs. DEN,W,31,2,4,0.5,2,4,0.5,0,0,0.0,1,3,4,2,0,0,1,0,6,-3,1
22020,1628398,0022000974,"MAY 02, 2021",LAL vs. TOR,L,36,8,16,0.5,6,11,0.545,2,2,1.0,0,3,3,0,1,2,1,1,24,-8,1
22020,1628398,0022000956,"APR 30, 2021",LAL vs. SAC,L,22,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,2,0,3,1,3,2,-11,1
22020,1628398,0022000935,"APR 28, 2021",LAL @ WAS,L,36,4,12,0.333,2,5,0.4,1,1,1.0,4,3,7,8,0,2,0,2,11,-3,1
22020,1628398,0022000917,"APR 26, 2021",LAL @ ORL,W,30,5,9,0.556,4,6,0.667,0,0,0.0,1,6,7,1,0,0,0,1,14,17,1
22020,1628398,0022000908,"APR 24, 2021",LAL @ DAL,L,31,5,11,0.455,4,9,0.444,0,0,0.0,0,2,2,0,2,1,2,2,14,-23,1
22020,1628398,0022000897,"APR 22, 2021",LAL @ DAL,L,31,4,10,0.4,0,2,0.0,0,0,0.0,2,4,6,4,1,0,2,5,8,12,1
22020,1628398,0022000875,"APR 19, 2021",LAL vs. UTA,L,29,8,13,0.615,1,3,0.333,0,0,0.0,0,2,2,3,1,0,2,1,17,-18,1
22020,1628398,0022000855,"APR 17, 2021",LAL vs. UTA,W,38,4,6,0.667,2,2,1.0,3,4,0.75,2,4,6,6,2,1,1,1,13,16,1
22020,1628398,0022000842,"APR 15, 2021",LAL vs. BOS,L,29,5,14,0.357,2,6,0.333,1,2,0.5,1,1,2,1,1,0,0,2,13,-20,1
22020,1628398,0022000825,"APR 13, 2021",LAL @ CHA,W,34,7,18,0.389,4,12,0.333,6,6,1.0,2,2,4,1,1,0,2,1,24,1,1
22020,1628398,0022000815,"APR 12, 2021",LAL @ NYK,L,30,5,13,0.385,2,9,0.222,2,2,1.0,0,4,4,0,0,2,3,2,14,-26,1
22020,1628398,0022000772,"APR 06, 2021",LAL @ TOR,W,35,3,13,0.231,2,11,0.182,0,0,0.0,2,2,4,1,0,2,3,3,8,3,1
22020,1628398,0022000756,"APR 04, 2021",LAL @ LAC,L,33,2,10,0.2,0,4,0.0,2,5,0.4,2,5,7,1,0,2,4,1,6,-25,1
22020,1628398,0022000746,"APR 02, 2021",LAL @ SAC,W,36,11,18,0.611,4,7,0.571,4,5,0.8,0,5,5,3,0,0,3,1,30,29,1
22020,1628398,0022000729,"MAR 31, 2021",LAL vs. MIL,L,34,7,17,0.412,1,9,0.111,1,1,1.0,1,6,7,3,1,0,2,1,16,-17,1
22020,1628398,0022000706,"MAR 28, 2021",LAL vs. ORL,W,39,8,20,0.4,5,15,0.333,0,0,0.0,1,10,11,4,0,0,2,3,21,10,1
22020,1628398,0022000693,"MAR 26, 2021",LAL vs. CLE,W,27,2,7,0.286,0,3,0.0,0,0,0.0,0,8,8,7,0,0,2,1,4,8,1
22020,1628398,0022000681,"MAR 25, 2021",LAL vs. PHI,L,42,9,21,0.429,3,9,0.333,4,5,0.8,3,6,9,0,1,0,4,3,25,-8,1
22020,1628398,0022000663,"MAR 23, 2021",LAL @ NOP,L,34,6,14,0.429,4,8,0.5,0,0,0.0,2,8,10,7,1,0,6,4,16,-16,1
22020,1628398,0022000651,"MAR 21, 2021",LAL @ PHX,L,36,5,16,0.313,2,8,0.25,1,2,0.5,0,6,6,6,1,0,1,1,13,-15,1
22020,1628398,0022000640,"MAR 20, 2021",LAL vs. ATL,L,37,3,8,0.375,1,5,0.2,1,2,0.5,0,5,5,1,1,0,2,2,8,-2,1
22020,1628398,0022000630,"MAR 18, 2021",LAL vs. CHA,W,32,4,12,0.333,4,10,0.4,0,0,0.0,1,4,5,3,0,1,2,1,12,5,1
22020,1628398,0022000615,"MAR 16, 2021",LAL vs. MIN,W,26,7,12,0.583,2,4,0.5,0,1,0.0,1,2,3,1,0,0,0,0,16,10,1
22020,1628398,0022000608,"MAR 15, 2021",LAL @ GSW,W,28,7,11,0.636,3,5,0.6,0,1,0.0,1,4,5,4,2,0,1,2,17,26,1
22020,1628398,0022000585,"MAR 12, 2021",LAL vs. IND,W,30,8,18,0.444,3,6,0.5,5,6,0.833,3,10,13,1,1,0,2,1,24,3,1
22020,1628398,0022000551,"MAR 03, 2021",LAL @ SAC,L,34,10,20,0.5,4,10,0.4,1,3,0.333,5,8,13,3,1,0,3,5,25,8,1
22020,1628398,0022000527,"FEB 28, 2021",LAL vs. GSW,W,20,4,7,0.571,2,4,0.5,2,2,1.0,3,8,11,0,1,0,3,2,12,15,1
22020,1628398,0022000512,"FEB 26, 2021",LAL vs. POR,W,23,1,5,0.2,0,1,0.0,2,2,1.0,5,6,11,2,0,0,2,3,4,5,1
22020,1628398,0022000497,"FEB 24, 2021",LAL @ UTA,L,25,2,7,0.286,1,3,0.333,0,0,0.0,1,6,7,1,2,1,2,1,5,-7,1
