SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1626171,0022201221,"APR 09, 2023",MIL @ TOR,L,18,7,14,0.5,2,4,0.5,0,0,0.0,0,4,4,0,1,0,2,1,16,-14,1
22022,1626171,0022201193,"APR 05, 2023",MIL vs. CHI,W,37,9,18,0.5,6,9,0.667,3,3,1.0,2,11,13,1,1,0,0,1,27,10,1
22022,1626171,0022201179,"APR 04, 2023",MIL @ WAS,W,31,5,15,0.333,5,9,0.556,4,8,0.5,5,15,20,4,0,0,1,1,19,-8,1
22022,1626171,0022201174,"APR 02, 2023",MIL vs. PHI,W,28,8,11,0.727,2,3,0.667,0,0,0.0,0,5,5,0,1,1,1,3,18,6,1
22022,1626171,0022201146,"MAR 30, 2023",MIL vs. BOS,L,20,5,14,0.357,2,6,0.333,0,0,0.0,4,6,10,0,0,0,2,1,12,-25,1
22022,1626171,0022201136,"MAR 29, 2023",MIL @ IND,W,23,5,7,0.714,1,1,1.0,1,2,0.5,1,7,8,0,0,0,2,4,12,0,1
22022,1626171,0022201122,"MAR 27, 2023",MIL @ DET,W,31,7,14,0.5,3,7,0.429,4,4,1.0,3,11,14,2,0,1,0,1,21,-1,1
22022,1626171,0022201109,"MAR 25, 2023",MIL @ DEN,L,25,4,11,0.364,1,4,0.25,2,2,1.0,1,5,6,0,0,0,0,2,11,-8,1
22022,1626171,0022201102,"MAR 24, 2023",MIL @ UTA,W,22,2,9,0.222,0,4,0.0,1,2,0.5,1,7,8,2,0,0,0,4,5,3,1
22022,1626171,0022201089,"MAR 22, 2023",MIL vs. SAS,W,25,7,14,0.5,3,6,0.5,2,8,0.25,0,10,10,0,1,0,0,0,19,16,1
22022,1626171,0022201068,"MAR 19, 2023",MIL vs. TOR,W,24,6,13,0.462,2,6,0.333,0,0,0.0,1,8,9,1,0,0,1,0,14,13,1
22022,1626171,0022201045,"MAR 16, 2023",MIL vs. IND,L,33,6,11,0.545,0,3,0.0,4,4,1.0,2,7,9,0,0,2,1,2,16,4,1
22022,1626171,0022201033,"MAR 14, 2023",MIL @ PHX,W,20,4,9,0.444,1,3,0.333,2,3,0.667,1,3,4,0,1,0,0,0,11,-16,1
22022,1626171,0022201026,"MAR 13, 2023",MIL @ SAC,W,19,1,1,1.0,0,0,0.0,1,2,0.5,1,2,3,0,0,0,1,1,3,1,1
22022,1626171,0022201012,"MAR 11, 2023",MIL @ GSW,L,32,5,11,0.455,2,2,1.0,3,3,1.0,2,11,13,2,0,0,1,0,15,-14,1
22022,1626171,0022200995,"MAR 09, 2023",MIL vs. BKN,W,30,11,15,0.733,3,4,0.75,3,4,0.75,3,10,13,2,0,0,3,3,28,5,1
22022,1626171,0022200978,"MAR 07, 2023",MIL @ ORL,W,31,8,13,0.615,0,3,0.0,0,0,0.0,0,11,11,1,0,0,3,2,16,10,1
22022,1626171,0022200973,"MAR 05, 2023",MIL @ WAS,W,19,2,6,0.333,1,4,0.25,0,0,0.0,0,7,7,2,0,0,2,1,5,8,1
22022,1626171,0022200960,"MAR 04, 2023",MIL vs. PHI,L,16,3,4,0.75,1,2,0.5,0,0,0.0,0,5,5,0,0,0,0,2,7,-5,1
22022,1626171,0022200939,"MAR 01, 2023",MIL vs. ORL,W,17,0,5,0.0,0,1,0.0,0,0,0.0,1,3,4,1,1,0,0,2,0,-9,1
22022,1626171,0022200924,"FEB 28, 2023",MIL @ BKN,W,16,2,7,0.286,1,2,0.5,1,3,0.333,1,5,6,1,1,0,0,1,6,0,1
22022,1626171,0022200910,"FEB 26, 2023",MIL vs. PHX,W,21,3,7,0.429,0,1,0.0,4,4,1.0,3,3,6,0,0,1,2,2,10,-1,1
22022,1626171,0022200897,"FEB 24, 2023",MIL vs. MIA,W,22,7,11,0.636,1,3,0.333,3,3,1.0,2,9,11,1,0,0,0,0,18,12,1
22022,1626171,0022200706,"JAN 23, 2023",MIL @ DET,W,23,8,12,0.667,2,3,0.667,0,0,0.0,3,7,10,3,1,0,0,2,18,16,1
22022,1626171,0022200695,"JAN 21, 2023",MIL @ CLE,L,31,9,16,0.563,5,8,0.625,0,0,0.0,2,9,11,1,0,0,1,2,23,-15,1
22022,1626171,0022200665,"JAN 17, 2023",MIL vs. TOR,W,35,5,12,0.417,0,4,0.0,2,2,1.0,2,10,12,1,0,0,3,2,12,11,1
22022,1626171,0022200657,"JAN 16, 2023",MIL vs. IND,W,34,7,16,0.438,3,6,0.5,4,4,1.0,2,9,11,4,0,0,3,2,21,16,1
22022,1626171,0022200641,"JAN 14, 2023",MIL @ MIA,L,27,4,10,0.4,1,2,0.5,6,6,1.0,2,5,7,2,3,0,2,0,15,-23,1
22022,1626171,0022200628,"JAN 12, 2023",MIL @ MIA,L,32,5,12,0.417,0,3,0.0,2,4,0.5,2,5,7,1,3,1,2,5,12,3,1
22022,1626171,0022200620,"JAN 11, 2023",MIL @ ATL,W,25,6,11,0.545,1,2,0.5,0,0,0.0,2,8,10,1,0,0,1,0,13,-2,1
22022,1626171,0022200607,"JAN 09, 2023",MIL @ NYK,W,19,5,6,0.833,0,0,0.0,0,0,0.0,0,3,3,0,0,0,2,1,10,-2,1
22022,1626171,0022200583,"JAN 06, 2023",MIL vs. CHA,L,23,7,10,0.7,3,4,0.75,2,2,1.0,3,9,12,3,1,0,0,3,19,-16,1
22022,1626171,0022200569,"JAN 04, 2023",MIL @ TOR,W,33,7,16,0.438,0,4,0.0,0,0,0.0,2,10,12,0,1,1,4,2,14,-15,1
22022,1626171,0022200561,"JAN 03, 2023",MIL vs. WAS,W,28,7,13,0.538,2,6,0.333,1,1,1.0,3,10,13,4,2,0,0,1,17,9,1
22022,1626171,0022200548,"JAN 01, 2023",MIL vs. WAS,L,30,6,16,0.375,1,2,0.5,6,6,1.0,5,5,10,2,1,0,1,1,19,-10,1
22022,1626171,0022200533,"DEC 30, 2022",MIL vs. MIN,W,31,9,17,0.529,3,5,0.6,1,1,1.0,8,6,14,1,1,0,1,1,22,7,1
22022,1626171,0022200519,"DEC 28, 2022",MIL @ CHI,L,28,7,18,0.389,3,7,0.429,3,4,0.75,5,6,11,1,0,0,0,1,20,10,1
22022,1626171,0022200495,"DEC 25, 2022",MIL @ BOS,L,23,2,4,0.5,0,1,0.0,0,0,0.0,1,8,9,1,0,0,1,2,4,-6,1
22022,1626171,0022200483,"DEC 23, 2022",MIL @ BKN,L,26,5,11,0.455,0,3,0.0,0,0,0.0,3,9,12,0,0,0,2,0,10,8,1
22022,1626171,0022200466,"DEC 21, 2022",MIL @ CLE,L,19,3,7,0.429,0,2,0.0,0,0,0.0,2,4,6,1,1,0,0,0,6,-18,1
22022,1626171,0022200457,"DEC 19, 2022",MIL @ NOP,W,22,2,5,0.4,0,1,0.0,0,0,0.0,1,3,4,1,0,0,1,1,4,11,1
22022,1626171,0022200442,"DEC 17, 2022",MIL vs. UTA,W,30,9,16,0.563,2,5,0.4,2,2,1.0,1,13,14,1,0,0,3,2,22,15,1
22022,1626171,0022200425,"DEC 15, 2022",MIL @ MEM,L,22,8,14,0.571,2,4,0.5,1,2,0.5,3,4,7,0,0,0,1,4,19,-30,1
22022,1626171,0022200410,"DEC 13, 2022",MIL vs. GSW,W,32,11,15,0.733,1,4,0.25,2,2,1.0,4,7,11,0,0,1,1,1,25,2,1
22022,1626171,0022200401,"DEC 11, 2022",MIL @ HOU,L,28,7,15,0.467,1,5,0.2,2,2,1.0,6,9,15,2,0,0,0,1,17,-5,1
22022,1626171,0022200386,"DEC 09, 2022",MIL @ DAL,W,16,5,11,0.455,0,2,0.0,0,0,0.0,2,6,8,0,0,0,1,3,10,1,1
22022,1626171,0022200369,"DEC 07, 2022",MIL vs. SAC,W,20,3,5,0.6,0,0,0.0,1,2,0.5,0,5,5,1,0,0,2,0,7,-2,1
22022,1626171,0022200353,"DEC 05, 2022",MIL @ ORL,W,27,8,12,0.667,1,2,0.5,1,2,0.5,2,8,10,1,0,1,2,4,18,5,1
22022,1626171,0022200339,"DEC 03, 2022",MIL @ CHA,W,31,9,18,0.5,1,5,0.2,1,1,1.0,0,8,8,7,0,0,3,3,20,6,1
22022,1626171,0022200331,"DEC 02, 2022",MIL vs. LAL,L,22,7,13,0.538,1,4,0.25,0,0,0.0,4,6,10,2,0,0,0,2,15,-1,1
22022,1626171,0022200316,"NOV 30, 2022",MIL @ NYK,W,25,4,10,0.4,1,2,0.5,1,2,0.5,5,7,12,3,0,0,0,0,10,9,1
22022,1626171,0022200298,"NOV 27, 2022",MIL vs. DAL,W,32,7,12,0.583,1,5,0.2,0,0,0.0,1,9,10,1,0,0,0,3,15,10,1
22022,1626171,0022200280,"NOV 25, 2022",MIL vs. CLE,W,25,6,10,0.6,2,3,0.667,0,0,0.0,1,7,8,4,0,1,3,1,14,4,1
22022,1626171,0022200267,"NOV 23, 2022",MIL vs. CHI,L,25,4,10,0.4,1,5,0.2,0,0,0.0,3,9,12,1,1,2,3,3,9,-14,1
22022,1626171,0022200251,"NOV 21, 2022",MIL vs. POR,W,24,6,11,0.545,1,3,0.333,0,0,0.0,0,5,5,4,0,1,1,4,13,5,1
22022,1626171,0022200226,"NOV 18, 2022",MIL @ PHI,L,34,9,13,0.692,3,6,0.5,0,0,0.0,4,7,11,3,1,0,0,4,21,-12,1
22022,1626171,0022200216,"NOV 16, 2022",MIL vs. CLE,W,30,4,8,0.5,0,1,0.0,2,2,1.0,0,11,11,2,1,0,1,1,10,18,1
22022,1626171,0022200204,"NOV 14, 2022",MIL vs. ATL,L,23,6,15,0.4,0,5,0.0,2,3,0.667,3,7,10,2,0,0,1,5,14,0,1
22022,1626171,0022200180,"NOV 11, 2022",MIL @ SAS,L,31,6,15,0.4,1,4,0.25,3,3,1.0,5,7,12,2,1,0,2,0,16,-7,1
22022,1626171,0022200168,"NOV 09, 2022",MIL @ OKC,W,34,4,12,0.333,1,1,1.0,4,4,1.0,1,8,9,2,1,0,2,2,13,6,1
22022,1626171,0022200149,"NOV 07, 2022",MIL @ ATL,L,23,4,8,0.5,2,5,0.4,1,2,0.5,1,9,10,2,0,0,1,0,11,-4,1
22022,1626171,0022200136,"NOV 05, 2022",MIL vs. OKC,W,29,5,15,0.333,2,5,0.4,0,0,0.0,4,17,21,2,0,0,1,0,12,12,1
22022,1626171,0022200129,"NOV 04, 2022",MIL @ MIN,W,30,7,14,0.5,2,6,0.333,2,2,1.0,0,8,8,5,0,0,1,1,18,8,1
22022,1626171,0022200113,"NOV 02, 2022",MIL vs. DET,W,24,5,9,0.556,0,3,0.0,0,0,0.0,3,6,9,3,0,0,2,2,10,6,1
22022,1626171,0022200100,"OCT 31, 2022",MIL vs. DET,W,28,6,11,0.545,2,4,0.5,1,3,0.333,3,9,12,2,0,0,1,1,15,-1,1
22022,1626171,0022200085,"OCT 29, 2022",MIL vs. ATL,W,24,4,12,0.333,1,5,0.2,0,0,0.0,1,9,10,4,0,0,0,1,9,15,1
22022,1626171,0022200075,"OCT 28, 2022",MIL vs. NYK,W,25,4,13,0.308,0,2,0.0,4,4,1.0,8,4,12,1,0,0,0,4,12,-4,1
22022,1626171,0022200060,"OCT 26, 2022",MIL vs. BKN,W,26,8,14,0.571,3,6,0.5,1,2,0.5,3,8,11,0,2,2,0,0,20,-4,1
22022,1626171,0022200033,"OCT 22, 2022",MIL vs. HOU,W,23,6,10,0.6,1,1,1.0,0,0,0.0,3,5,8,1,1,1,2,2,13,8,1
22022,1626171,0022200015,"OCT 20, 2022",MIL @ PHI,W,23,5,10,0.5,1,4,0.25,0,0,0.0,1,9,10,0,0,0,1,1,11,-2,1
22021,1626171,0022101203,"APR 08, 2022",MIL @ DET,W,22,4,13,0.308,0,3,0.0,0,0,0.0,4,11,15,0,0,0,0,1,8,4,1
22021,1626171,0022101198,"APR 07, 2022",MIL vs. BOS,W,27,7,11,0.636,3,4,0.75,0,0,0.0,2,5,7,1,1,0,0,3,17,28,1
22021,1626171,0022101183,"APR 05, 2022",MIL @ CHI,W,26,6,11,0.545,1,4,0.25,0,0,0.0,2,7,9,2,0,0,1,2,13,9,1
22021,1626171,0022101167,"APR 03, 2022",MIL vs. DAL,L,23,7,13,0.538,3,6,0.5,0,0,0.0,2,6,8,0,1,0,0,1,17,11,1
22021,1626171,0022101156,"APR 01, 2022",MIL vs. LAC,L,26,12,20,0.6,0,4,0.0,1,1,1.0,3,5,8,3,1,0,1,3,25,-17,1
22021,1626171,0022101148,"MAR 31, 2022",MIL @ BKN,W,31,4,9,0.444,1,4,0.25,0,0,0.0,1,8,9,1,1,0,2,0,9,1,1
22021,1626171,0022101131,"MAR 29, 2022",MIL @ PHI,W,14,1,2,0.5,1,2,0.5,0,0,0.0,1,4,5,1,1,0,0,3,3,4,1
22021,1626171,0022101112,"MAR 26, 2022",MIL @ MEM,L,21,2,13,0.154,1,4,0.25,2,3,0.667,8,3,11,0,0,1,0,2,7,-15,1
22021,1626171,0022101097,"MAR 24, 2022",MIL vs. WAS,W,29,5,11,0.455,1,1,1.0,0,0,0.0,1,11,12,1,0,0,3,3,11,-7,1
22021,1626171,0022101082,"MAR 22, 2022",MIL vs. CHI,W,22,3,6,0.5,0,1,0.0,0,0,0.0,0,9,9,1,1,0,1,2,6,15,1
22021,1626171,0022101058,"MAR 19, 2022",MIL @ MIN,L,26,2,10,0.2,0,4,0.0,0,0,0.0,3,7,10,0,0,1,1,1,4,-7,1
22021,1626171,0022101043,"MAR 16, 2022",MIL @ SAC,W,30,5,7,0.714,0,2,0.0,2,2,1.0,1,5,6,3,1,1,0,2,12,13,1
22021,1626171,0022101027,"MAR 14, 2022",MIL @ UTA,W,28,3,9,0.333,1,5,0.2,0,0,0.0,2,4,6,1,0,1,1,0,7,-1,1
22021,1626171,0022101008,"MAR 12, 2022",MIL @ GSW,L,22,2,10,0.2,0,4,0.0,0,0,0.0,2,4,6,3,1,0,0,2,4,-17,1
22021,1626171,0022100984,"MAR 09, 2022",MIL vs. ATL,W,32,9,17,0.529,4,8,0.5,1,1,1.0,2,13,15,0,1,2,0,2,23,7,1
22021,1626171,0022100979,"MAR 08, 2022",MIL @ OKC,W,28,7,11,0.636,2,5,0.4,2,2,1.0,4,10,14,2,2,1,1,1,18,10,1
22021,1626171,0022100961,"MAR 06, 2022",MIL vs. PHX,W,32,2,8,0.25,2,5,0.4,3,4,0.75,4,2,6,0,0,0,2,2,9,11,1
22021,1626171,0022100949,"MAR 04, 2022",MIL @ CHI,W,31,5,9,0.556,2,4,0.5,0,0,0.0,1,6,7,0,1,1,1,3,12,1,1
22021,1626171,0022100936,"MAR 02, 2022",MIL vs. MIA,W,32,6,12,0.5,2,6,0.333,1,2,0.5,3,4,7,1,2,2,0,2,15,10,1
22021,1626171,0022100924,"FEB 28, 2022",MIL vs. CHA,W,23,7,14,0.5,4,7,0.571,2,2,1.0,1,9,10,0,0,0,2,2,20,16,1
22021,1626171,0022100910,"FEB 26, 2022",MIL vs. BKN,L,36,11,18,0.611,8,14,0.571,0,2,0.0,1,11,12,0,0,0,0,3,30,7,1
22021,1626171,0022100887,"FEB 17, 2022",MIL vs. PHI,L,28,6,13,0.462,1,7,0.143,4,5,0.8,4,3,7,3,1,0,0,4,17,4,1
22021,1626171,0022100870,"FEB 15, 2022",MIL vs. IND,W,28,3,14,0.214,0,5,0.0,0,0,0.0,2,12,14,2,3,0,3,0,6,4,1
22021,1626171,0022100862,"FEB 14, 2022",MIL vs. POR,L,32,8,15,0.533,1,4,0.25,0,2,0.0,2,7,9,0,0,1,0,3,17,-11,1
22021,1626171,0022100836,"FEB 10, 2022",MIL @ PHX,L,28,5,12,0.417,1,5,0.2,0,0,0.0,2,7,9,0,1,1,1,2,11,-7,1
22021,1626171,0022100822,"FEB 08, 2022",MIL @ LAL,W,33,9,18,0.5,5,9,0.556,0,0,0.0,1,6,7,1,2,0,1,4,23,3,1
22021,1626171,0022100809,"FEB 06, 2022",MIL @ LAC,W,29,8,12,0.667,4,5,0.8,4,4,1.0,0,11,11,1,1,0,0,3,24,28,1
22021,1626171,0022100800,"FEB 05, 2022",MIL @ POR,W,24,11,13,0.846,6,8,0.75,2,3,0.667,0,4,4,5,1,2,1,1,30,32,1
22021,1626171,0022100768,"FEB 01, 2022",MIL vs. WAS,W,35,8,14,0.571,1,5,0.2,0,0,0.0,0,7,7,2,0,0,1,2,17,21,1
22021,1626171,0022100756,"JAN 30, 2022",MIL vs. DEN,L,23,5,11,0.455,1,3,0.333,0,0,0.0,0,5,5,0,0,0,1,1,11,-22,1
22021,1626171,0022100744,"JAN 28, 2022",MIL vs. NYK,W,27,2,10,0.2,1,5,0.2,0,0,0.0,2,4,6,0,1,1,1,1,5,3,1
22021,1626171,0022100722,"JAN 26, 2022",MIL @ CLE,L,32,10,15,0.667,1,4,0.25,1,2,0.5,3,4,7,1,0,1,2,3,22,-9,1
22021,1626171,0022100696,"JAN 22, 2022",MIL vs. SAC,W,33,2,9,0.222,1,4,0.25,1,2,0.5,1,11,12,3,0,0,1,2,6,17,1
22021,1626171,0022100690,"JAN 21, 2022",MIL vs. CHI,W,27,5,15,0.333,1,7,0.143,1,2,0.5,6,7,13,1,0,0,1,3,12,9,1
22021,1626171,0022100674,"JAN 19, 2022",MIL vs. MEM,W,32,6,12,0.5,2,4,0.5,0,0,0.0,4,6,10,1,1,2,2,2,14,4,1
22021,1626171,0022100660,"JAN 17, 2022",MIL @ ATL,L,32,6,12,0.5,1,4,0.25,0,0,0.0,4,9,13,0,1,1,0,3,13,8,1
22021,1626171,0022100641,"JAN 15, 2022",MIL vs. TOR,L,34,4,8,0.5,1,3,0.333,2,3,0.667,4,7,11,0,0,3,1,3,11,1,1
22021,1626171,0022100627,"JAN 13, 2022",MIL vs. GSW,W,25,8,16,0.5,4,7,0.571,0,0,0.0,0,7,7,0,1,1,2,4,20,27,1
22021,1626171,0022100607,"JAN 10, 2022",MIL @ CHA,L,35,2,7,0.286,0,2,0.0,1,2,0.5,2,9,11,2,0,0,2,5,5,11,1
22021,1626171,0022100592,"JAN 08, 2022",MIL @ CHA,L,37,9,17,0.529,1,3,0.333,0,0,0.0,4,9,13,1,2,0,4,3,19,2,1
22021,1626171,0022100583,"JAN 07, 2022",MIL @ BKN,W,32,9,16,0.563,2,5,0.4,5,5,1.0,3,9,12,2,0,1,1,1,25,24,1
22021,1626171,0022100573,"JAN 05, 2022",MIL vs. TOR,L,22,4,9,0.444,2,3,0.667,1,2,0.5,2,4,6,0,1,1,1,6,11,-8,1
22021,1626171,0022100556,"JAN 03, 2022",MIL vs. DET,L,30,5,12,0.417,2,6,0.333,0,0,0.0,3,11,14,0,0,0,0,3,12,-9,1
22021,1626171,0022100539,"JAN 01, 2022",MIL vs. NOP,W,21,5,11,0.455,4,6,0.667,0,0,0.0,1,5,6,1,0,0,1,4,14,16,1
22021,1626171,0022100526,"DEC 30, 2021",MIL @ ORL,W,26,5,9,0.556,0,1,0.0,1,2,0.5,5,4,9,0,0,0,1,3,11,14,1
22021,1626171,0022100508,"DEC 28, 2021",MIL @ ORL,W,29,7,9,0.778,5,5,1.0,0,0,0.0,0,7,7,1,0,1,2,2,19,2,1
22021,1626171,0022100489,"DEC 25, 2021",MIL vs. BOS,W,22,6,13,0.462,2,4,0.5,2,2,1.0,6,4,10,4,0,0,4,3,16,0,1
22021,1626171,0022100421,"DEC 15, 2021",MIL vs. IND,W,28,8,16,0.5,2,3,0.667,2,2,1.0,3,6,9,3,1,0,0,1,20,5,1
22021,1626171,0022100408,"DEC 13, 2021",MIL @ BOS,L,27,6,14,0.429,1,6,0.167,0,0,0.0,3,5,8,2,0,1,1,2,13,-17,1
22021,1626171,0022100398,"DEC 12, 2021",MIL @ NYK,W,30,7,14,0.5,3,7,0.429,2,3,0.667,5,5,10,0,3,0,2,1,19,23,1
22021,1626171,0022100386,"DEC 10, 2021",MIL @ HOU,W,33,7,15,0.467,3,7,0.429,4,6,0.667,2,5,7,1,2,3,2,2,21,4,1
22021,1626171,0022100370,"DEC 08, 2021",MIL @ MIA,L,30,7,13,0.538,1,3,0.333,3,4,0.75,4,3,7,0,2,2,3,3,18,-17,1
22021,1626171,0022100358,"DEC 06, 2021",MIL vs. CLE,W,31,4,12,0.333,2,7,0.286,0,0,0.0,2,14,16,3,0,1,1,4,10,13,1
22021,1626171,0022100344,"DEC 04, 2021",MIL vs. MIA,W,30,7,13,0.538,2,6,0.333,3,3,1.0,4,12,16,3,2,2,2,2,19,14,1
22021,1626171,0022100329,"DEC 02, 2021",MIL @ TOR,L,30,3,11,0.273,1,3,0.333,8,10,0.8,4,7,11,0,1,1,3,5,15,1,1
22021,1626171,0022100324,"DEC 01, 2021",MIL vs. CHA,W,26,4,11,0.364,0,3,0.0,2,2,1.0,3,4,7,1,1,0,1,3,10,-6,1
22021,1626171,0022100301,"NOV 28, 2021",MIL @ IND,W,26,5,10,0.5,1,3,0.333,4,4,1.0,1,5,6,2,0,1,1,3,15,6,1
22021,1626171,0022100288,"NOV 26, 2021",MIL @ DEN,W,28,5,12,0.417,1,4,0.25,0,0,0.0,2,6,8,1,1,3,2,2,11,10,1
22021,1626171,0022100273,"NOV 24, 2021",MIL vs. DET,W,31,10,14,0.714,6,7,0.857,2,2,1.0,2,8,10,1,0,0,1,4,28,17,1
22021,1626171,0022100258,"NOV 22, 2021",MIL vs. ORL,W,22,5,11,0.455,2,5,0.4,1,2,0.5,5,6,11,3,0,1,4,3,13,25,1
22021,1626171,0022100244,"NOV 20, 2021",MIL vs. ORL,W,34,8,11,0.727,6,7,0.857,2,2,1.0,3,12,15,0,0,1,0,0,24,3,1
22021,1626171,0022100234,"NOV 19, 2021",MIL vs. OKC,W,31,5,13,0.385,3,6,0.5,4,4,1.0,4,9,13,1,2,0,0,3,17,6,1
22021,1626171,0022100219,"NOV 17, 2021",MIL vs. LAL,W,29,8,14,0.571,1,5,0.2,0,1,0.0,3,2,5,2,1,1,3,1,17,7,1
22021,1626171,0022100193,"NOV 14, 2021",MIL @ ATL,L,32,5,10,0.5,1,4,0.25,0,0,0.0,0,8,8,3,1,0,1,4,11,-7,1
22021,1626171,0022100175,"NOV 12, 2021",MIL @ BOS,L,41,10,15,0.667,1,4,0.25,1,2,0.5,1,5,6,2,0,0,2,4,22,-13,1
22021,1626171,0022100161,"NOV 10, 2021",MIL @ NYK,W,24,6,11,0.545,3,5,0.6,2,4,0.5,2,3,5,0,0,0,1,3,17,-1,1
22021,1626171,0022100155,"NOV 09, 2021",MIL @ PHI,W,35,6,14,0.429,4,8,0.5,3,3,1.0,4,6,10,3,1,2,3,1,19,-4,1
22021,1626171,0022100142,"NOV 07, 2021",MIL @ WAS,L,31,6,17,0.353,1,3,0.333,0,0,0.0,5,8,13,2,4,2,2,1,13,10,1
22021,1626171,0022100128,"NOV 05, 2021",MIL vs. NYK,L,24,3,9,0.333,0,1,0.0,0,0,0.0,3,5,8,1,0,2,1,2,6,-12,1
22021,1626171,0022100103,"NOV 02, 2021",MIL @ DET,W,22,5,13,0.385,1,2,0.5,1,2,0.5,4,4,8,0,1,1,2,4,12,11,1
22021,1626171,0022100091,"OCT 31, 2021",MIL vs. UTA,L,19,6,15,0.4,1,5,0.2,2,2,1.0,2,3,5,1,0,1,1,2,15,-7,1
22021,1626171,0022100060,"OCT 27, 2021",MIL vs. MIN,L,15,3,7,0.429,0,3,0.0,0,0,0.0,0,3,3,0,0,0,1,3,6,-10,1
22020,1626171,0022001062,"MAY 15, 2021",MIL vs. MIA,W,19,5,8,0.625,1,3,0.333,3,3,1.0,1,2,3,1,1,0,1,3,14,11,1
22020,1626171,0022001048,"MAY 13, 2021",MIL @ IND,W,17,5,6,0.833,2,2,1.0,0,0,0.0,0,4,4,1,0,0,0,1,12,-7,1
22020,1626171,0022001038,"MAY 11, 2021",MIL vs. ORL,W,21,4,11,0.364,0,1,0.0,2,4,0.5,8,7,15,1,1,1,1,1,10,-2,1
22020,1626171,0022001029,"MAY 10, 2021",MIL @ SAS,L,16,5,11,0.455,1,2,0.5,2,2,1.0,2,3,5,0,1,1,0,1,13,-9,1
22020,1626171,0022001006,"MAY 07, 2021",MIL vs. HOU,W,15,7,14,0.5,1,2,0.5,1,2,0.5,5,3,8,1,0,0,2,0,16,-14,1
22020,1626171,0022000235,"MAY 05, 2021",MIL vs. WAS,W,16,4,10,0.4,1,3,0.333,0,0,0.0,2,4,6,0,1,0,0,0,9,-6,1
22020,1626171,0022000985,"MAY 04, 2021",MIL vs. BKN,W,16,2,6,0.333,0,2,0.0,1,2,0.5,0,4,4,0,1,1,1,1,5,-7,1
22020,1626171,0022000954,"APR 30, 2021",MIL @ CHI,W,28,7,10,0.7,1,2,0.5,1,2,0.5,2,12,14,1,2,1,0,5,16,-9,1
22020,1626171,0022000945,"APR 29, 2021",MIL @ HOU,L,24,4,8,0.5,0,0,0.0,2,2,1.0,3,8,11,3,4,0,2,4,10,3,1
22020,1626171,0022000928,"APR 27, 2021",MIL @ CHA,W,13,2,6,0.333,0,2,0.0,1,2,0.5,1,4,5,3,0,0,1,3,5,8,1
22020,1626171,0022000913,"APR 25, 2021",MIL @ ATL,L,22,3,7,0.429,2,3,0.667,2,2,1.0,0,5,5,0,0,0,2,2,10,1,1
22020,1626171,0022000905,"APR 24, 2021",MIL vs. PHI,W,19,8,14,0.571,1,3,0.333,0,0,0.0,6,2,8,0,0,0,0,3,17,9,1
22020,1626171,0022000894,"APR 22, 2021",MIL vs. PHI,W,23,9,11,0.818,5,5,1.0,0,0,0.0,1,4,5,1,1,3,1,3,23,-10,1
22020,1626171,0022000873,"APR 19, 2021",MIL vs. PHX,L,14,2,5,0.4,0,1,0.0,2,2,1.0,0,2,2,0,0,0,1,2,6,-1,1
22020,1626171,0022000859,"APR 17, 2021",MIL vs. MEM,L,9,2,5,0.4,1,3,0.333,1,2,0.5,0,1,1,0,0,0,1,0,6,-9,1
22020,1626171,0022000840,"APR 15, 2021",MIL @ ATL,W,22,4,9,0.444,1,2,0.5,2,2,1.0,2,5,7,2,1,0,0,1,11,16,1
22020,1626171,0022000834,"APR 14, 2021",MIL @ MIN,W,25,6,13,0.462,1,2,0.5,0,0,0.0,3,4,7,5,2,0,0,2,13,13,1
22020,1626171,0022000808,"APR 11, 2021",MIL @ ORL,W,23,6,12,0.5,4,6,0.667,0,0,0.0,1,9,10,1,1,0,2,1,16,23,1
22020,1626171,0022000796,"APR 09, 2021",MIL vs. CHA,L,25,5,15,0.333,0,2,0.0,0,0,0.0,7,6,13,1,0,2,6,2,10,-2,1
22020,1626171,0022000786,"APR 08, 2021",MIL @ DAL,L,35,8,19,0.421,1,4,0.25,3,4,0.75,3,11,14,2,1,0,0,1,20,-17,1
22020,1626171,0022000774,"APR 06, 2021",MIL @ GSW,L,28,5,10,0.5,2,3,0.667,1,2,0.5,0,13,13,0,1,0,0,0,13,6,1
22020,1626171,0022000754,"APR 03, 2021",MIL @ SAC,W,20,8,9,0.889,0,0,0.0,2,2,1.0,1,5,6,1,0,0,1,0,18,8,1
22020,1626171,0022000745,"APR 02, 2021",MIL @ POR,W,17,3,9,0.333,0,2,0.0,0,0,0.0,0,7,7,1,1,0,0,0,6,11,1
22020,1626171,0022000669,"MAR 24, 2021",MIL vs. BOS,W,17,7,10,0.7,4,6,0.667,3,3,1.0,1,3,4,1,1,0,0,2,21,-7,1
22020,1626171,0022000659,"MAR 22, 2021",MIL vs. IND,W,25,8,14,0.571,2,4,0.5,0,0,0.0,1,9,10,4,0,0,2,1,18,11,1
