SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203081,0022201091,"MAR 22, 2023",POR @ UTA,W,34,8,19,0.421,2,10,0.2,12,14,0.857,1,6,7,12,0,0,2,1,30,18,1
22022,203081,0022201069,"MAR 19, 2023",POR vs. LAC,L,39,4,17,0.235,1,8,0.125,12,13,0.923,1,6,7,9,1,1,4,0,21,-20,1
22022,203081,0022201053,"MAR 17, 2023",POR vs. BOS,L,37,12,23,0.522,6,15,0.4,11,14,0.786,1,3,4,5,1,1,7,3,41,-14,1
22022,203081,0022201034,"MAR 14, 2023",POR vs. NYK,L,39,11,26,0.423,8,17,0.471,8,9,0.889,2,5,7,7,0,0,4,3,38,-5,1
22022,203081,0022200998,"MAR 10, 2023",POR @ PHI,L,39,6,15,0.4,2,8,0.25,8,8,1.0,0,6,6,11,0,0,2,2,22,3,1
22022,203081,0022200986,"MAR 08, 2023",POR @ BOS,L,30,7,16,0.438,2,8,0.25,11,11,1.0,0,5,5,8,1,0,5,2,27,-16,1
22022,203081,0022200977,"MAR 06, 2023",POR @ DET,W,38,10,28,0.357,6,14,0.429,5,6,0.833,2,11,13,12,1,1,4,0,31,8,1
22022,203081,0022200966,"MAR 05, 2023",POR @ ORL,W,37,10,25,0.4,4,16,0.25,17,20,0.85,3,6,9,6,2,1,5,2,41,10,1
22022,203081,0022200947,"MAR 03, 2023",POR @ ATL,L,37,10,21,0.476,5,11,0.455,8,9,0.889,1,3,4,8,2,0,3,2,33,-13,1
22022,203081,0022200941,"MAR 01, 2023",POR vs. NOP,L,39,12,22,0.545,2,9,0.222,15,16,0.938,0,8,8,0,1,0,4,1,41,2,1
22022,203081,0022200931,"FEB 28, 2023",POR @ GSW,L,35,9,21,0.429,2,7,0.286,5,5,1.0,3,0,3,7,3,0,2,4,25,0,1
22022,203081,0022200917,"FEB 26, 2023",POR vs. HOU,W,39,22,38,0.579,13,22,0.591,14,14,1.0,1,5,6,6,0,0,2,0,71,21,1
22022,203081,0022200872,"FEB 14, 2023",POR vs. WAS,L,39,14,30,0.467,5,17,0.294,6,7,0.857,1,9,10,6,1,0,6,1,39,-13,1
22022,203081,0022200867,"FEB 13, 2023",POR vs. LAL,W,34,13,23,0.565,8,14,0.571,6,7,0.857,0,6,6,5,0,1,3,1,40,11,1
22022,203081,0022200843,"FEB 10, 2023",POR vs. OKC,L,36,10,18,0.556,6,13,0.462,12,13,0.923,1,1,2,9,1,0,6,3,38,-21,1
22022,203081,0022200830,"FEB 08, 2023",POR vs. GSW,W,40,8,21,0.381,1,7,0.143,16,16,1.0,3,7,10,11,1,0,5,1,33,2,1
22022,203081,0022200815,"FEB 06, 2023",POR vs. MIL,L,32,7,18,0.389,2,7,0.286,12,12,1.0,0,4,4,5,1,0,1,2,28,-10,1
22022,203081,0022200796,"FEB 04, 2023",POR @ CHI,L,41,12,21,0.571,5,12,0.417,11,11,1.0,1,4,5,5,1,0,3,3,40,2,1
22022,203081,0022200787,"FEB 03, 2023",POR @ WAS,W,40,9,20,0.45,3,10,0.3,8,8,1.0,0,3,3,6,0,0,2,1,29,5,1
22022,203081,0022200771,"FEB 01, 2023",POR @ MEM,W,40,11,22,0.5,5,13,0.385,15,16,0.938,1,7,8,10,0,1,2,2,42,6,1
22022,203081,0022200763,"JAN 30, 2023",POR vs. ATL,W,38,10,21,0.476,5,12,0.417,17,17,1.0,1,1,2,6,0,0,0,3,42,6,1
22022,203081,0022200751,"JAN 28, 2023",POR vs. TOR,L,37,10,20,0.5,2,9,0.222,8,9,0.889,1,3,4,3,0,0,4,4,30,-24,1
22022,203081,0022200727,"JAN 25, 2023",POR vs. UTA,W,40,21,29,0.724,9,15,0.6,9,10,0.9,0,7,7,8,3,0,4,1,60,11,1
22022,203081,0022200711,"JAN 23, 2023",POR vs. SAS,W,31,12,19,0.632,7,11,0.636,6,6,1.0,0,1,1,12,1,0,3,2,37,6,1
22022,203081,0022200705,"JAN 22, 2023",POR vs. LAL,L,40,5,17,0.294,3,13,0.231,11,13,0.846,1,5,6,10,0,0,1,2,24,-13,1
22022,203081,0022200682,"JAN 19, 2023",POR vs. PHI,L,40,6,21,0.286,3,13,0.231,10,10,1.0,1,5,6,11,2,2,6,1,25,-4,1
22022,203081,0022200667,"JAN 17, 2023",POR @ DEN,L,34,12,20,0.6,6,12,0.5,14,14,1.0,0,3,3,8,0,0,2,4,44,-20,1
22022,203081,0022200654,"JAN 15, 2023",POR vs. DAL,W,37,10,17,0.588,4,9,0.444,16,16,1.0,0,3,3,6,1,0,1,1,40,25,1
22022,203081,0022200647,"JAN 14, 2023",POR vs. DAL,W,29,11,20,0.55,4,11,0.364,10,10,1.0,0,5,5,10,0,0,1,2,36,12,1
22022,203081,0022200631,"JAN 12, 2023",POR vs. CLE,L,40,16,28,0.571,5,13,0.385,13,15,0.867,0,2,2,3,1,0,1,1,50,-2,1
22022,203081,0022200616,"JAN 10, 2023",POR vs. ORL,L,39,12,25,0.48,2,12,0.167,4,4,1.0,1,3,4,5,1,0,3,0,30,-13,1
22022,203081,0022200597,"JAN 08, 2023",POR @ TOR,L,41,11,23,0.478,3,7,0.429,9,12,0.75,1,3,4,8,2,1,7,2,34,4,1
22022,203081,0022200580,"JAN 06, 2023",POR @ IND,L,36,7,24,0.292,1,8,0.125,4,5,0.8,0,2,2,8,0,0,2,3,19,-3,1
22022,203081,0022200571,"JAN 04, 2023",POR @ MIN,L,41,7,18,0.389,2,9,0.222,11,15,0.733,0,4,4,6,0,0,2,2,27,0,1
22022,203081,0022200559,"JAN 02, 2023",POR vs. DET,W,29,7,14,0.5,3,6,0.5,2,3,0.667,0,5,5,10,4,2,2,2,19,28,1
22022,203081,0022200536,"DEC 30, 2022",POR @ GSW,L,42,12,29,0.414,4,15,0.267,6,7,0.857,2,6,8,5,0,1,3,4,34,-5,1
22022,203081,0022200504,"DEC 26, 2022",POR vs. CHA,W,38,5,18,0.278,1,10,0.1,6,6,1.0,1,2,3,9,0,2,5,2,17,21,1
22022,203081,0022200489,"DEC 23, 2022",POR @ DEN,L,39,10,22,0.455,4,11,0.364,10,10,1.0,2,5,7,8,0,0,0,2,34,-3,1
22022,203081,0022200474,"DEC 21, 2022",POR @ OKC,L,36,6,19,0.316,2,11,0.182,2,2,1.0,0,2,2,8,2,0,4,2,16,-2,1
22022,203081,0022200458,"DEC 19, 2022",POR @ OKC,L,39,9,17,0.529,6,12,0.5,4,4,1.0,0,3,3,6,1,0,4,4,28,0,1
22022,203081,0022200441,"DEC 17, 2022",POR @ HOU,W,33,7,20,0.35,5,13,0.385,6,8,0.75,0,3,3,10,2,0,1,2,25,29,1
22022,203081,0022200436,"DEC 16, 2022",POR @ DAL,L,24,6,14,0.429,3,8,0.375,9,10,0.9,0,1,1,3,0,0,2,2,24,-14,1
22022,203081,0022200420,"DEC 14, 2022",POR @ SAS,W,36,14,23,0.609,7,14,0.5,2,2,1.0,0,5,5,8,2,0,5,1,37,7,1
22022,203081,0022200407,"DEC 12, 2022",POR vs. MIN,W,29,13,21,0.619,11,17,0.647,1,1,1.0,0,2,2,3,0,0,4,1,38,24,1
22022,203081,0022200394,"DEC 10, 2022",POR vs. MIN,W,41,9,22,0.409,3,11,0.273,15,15,1.0,0,3,3,8,2,0,5,1,36,4,1
22022,203081,0022200376,"DEC 08, 2022",POR vs. DEN,L,38,12,22,0.545,9,17,0.529,7,7,1.0,1,3,4,12,2,0,1,2,40,11,1
22022,203081,0022200351,"DEC 04, 2022",POR vs. IND,W,32,7,16,0.438,5,10,0.5,2,2,1.0,0,4,4,6,1,1,4,4,21,30,1
22022,203081,0022200238,"NOV 19, 2022",POR vs. UTA,L,27,2,14,0.143,1,12,0.083,8,9,0.889,0,2,2,7,0,0,2,2,13,-17,1
22022,203081,0022200221,"NOV 17, 2022",POR vs. BKN,L,38,8,24,0.333,3,12,0.25,6,6,1.0,1,2,3,11,1,0,2,2,25,-2,1
22022,203081,0022200209,"NOV 15, 2022",POR vs. SAS,W,40,8,20,0.4,2,9,0.222,4,5,0.8,0,2,2,11,0,1,4,2,22,15,1
22022,203081,0022200190,"NOV 12, 2022",POR @ DAL,L,38,6,16,0.375,2,7,0.286,15,17,0.882,2,5,7,12,1,0,5,1,29,-2,1
22022,203081,0022200159,"NOV 09, 2022",POR @ CHA,W,36,8,16,0.5,6,12,0.5,4,8,0.5,1,5,6,7,0,0,6,2,26,1,1
22022,203081,0022200150,"NOV 07, 2022",POR @ MIA,W,35,4,12,0.333,3,8,0.375,8,9,0.889,0,3,3,6,0,0,4,2,19,6,1
22022,203081,0022200065,"OCT 26, 2022",POR vs. MIA,L,26,6,13,0.462,4,11,0.364,6,6,1.0,0,2,2,2,1,0,4,0,22,-10,1
22022,203081,0022200051,"OCT 24, 2022",POR vs. DEN,W,35,10,16,0.625,4,7,0.571,7,8,0.875,1,5,6,8,1,0,1,2,31,24,1
22022,203081,0022200037,"OCT 23, 2022",POR @ LAL,W,34,15,25,0.6,6,13,0.462,5,7,0.714,1,4,5,2,0,1,6,3,41,2,1
22022,203081,0022200027,"OCT 21, 2022",POR vs. PHX,W,43,12,25,0.48,5,12,0.417,12,12,1.0,1,6,7,3,0,1,4,2,41,-2,1
22022,203081,0022200014,"OCT 19, 2022",POR @ SAC,W,37,5,18,0.278,1,8,0.125,9,9,1.0,3,1,4,8,2,0,4,0,20,-1,1
22021,203081,0022100538,"DEC 31, 2021",POR @ LAL,L,32,5,15,0.333,1,8,0.125,7,9,0.778,0,4,4,7,0,0,3,2,18,-17,1
22021,203081,0022100523,"DEC 29, 2021",POR vs. UTA,L,37,10,23,0.435,5,14,0.357,7,10,0.7,0,6,6,4,1,0,2,0,32,-22,1
22021,203081,0022100506,"DEC 27, 2021",POR vs. DAL,L,36,5,15,0.333,3,8,0.375,13,14,0.929,0,2,2,5,0,1,5,1,26,-28,1
22021,203081,0022100467,"DEC 21, 2021",POR @ NOP,L,40,13,24,0.542,6,11,0.545,7,8,0.875,0,2,2,7,1,0,1,0,39,2,1
22021,203081,0022100450,"DEC 19, 2021",POR @ MEM,W,38,9,19,0.474,3,9,0.333,11,12,0.917,0,5,5,5,0,0,5,3,32,-7,1
22021,203081,0022100439,"DEC 17, 2021",POR vs. CHA,W,37,12,19,0.632,6,11,0.545,13,14,0.929,1,3,4,8,1,0,3,1,43,13,1
22021,203081,0022100426,"DEC 15, 2021",POR vs. MEM,L,38,6,21,0.286,5,11,0.455,4,4,1.0,1,4,5,4,1,1,3,2,21,13,1
22021,203081,0022100416,"DEC 14, 2021",POR vs. PHX,L,47,11,31,0.355,5,16,0.313,4,5,0.8,0,2,2,10,0,1,4,0,31,0,2
22021,203081,0022100402,"DEC 12, 2021",POR vs. MIN,L,37,5,17,0.294,3,14,0.214,11,15,0.733,3,8,11,6,0,0,5,0,24,-8,1
22021,203081,0022100312,"NOV 29, 2021",POR @ UTA,L,31,4,12,0.333,1,4,0.25,2,2,1.0,0,6,6,5,0,1,2,0,11,-11,1
22021,203081,0022100290,"NOV 26, 2021",POR @ GSW,L,38,5,15,0.333,2,7,0.286,4,4,1.0,0,0,0,6,1,0,4,1,16,-12,1
22021,203081,0022100279,"NOV 24, 2021",POR @ SAC,L,40,7,18,0.389,3,12,0.25,15,16,0.938,2,4,6,10,0,0,2,3,32,-1,1
22021,203081,0022100265,"NOV 23, 2021",POR vs. DEN,W,31,9,13,0.692,5,8,0.625,2,2,1.0,0,3,3,5,1,0,1,1,25,13,1
22021,203081,0022100246,"NOV 20, 2021",POR vs. PHI,W,37,10,21,0.476,5,13,0.385,14,14,1.0,0,0,0,7,0,3,4,1,39,9,1
22021,203081,0022100223,"NOV 17, 2021",POR vs. CHI,W,40,6,18,0.333,3,9,0.333,7,7,1.0,0,4,4,10,1,1,4,1,22,15,1
22021,203081,0022100208,"NOV 15, 2021",POR vs. TOR,W,40,10,21,0.476,3,6,0.5,1,1,1.0,2,2,4,8,2,1,3,0,24,7,1
22021,203081,0022100177,"NOV 12, 2021",POR @ HOU,W,38,6,16,0.375,4,9,0.444,4,5,0.8,0,6,6,7,0,1,2,1,20,0,1
22021,203081,0022100168,"NOV 10, 2021",POR @ PHX,L,38,12,23,0.522,1,4,0.25,3,4,0.75,0,7,7,7,0,0,2,0,28,-13,1
22021,203081,0022100157,"NOV 09, 2021",POR @ LAC,L,39,11,23,0.478,4,13,0.308,1,1,1.0,1,4,5,6,0,0,2,0,27,-5,1
22021,203081,0022100138,"NOV 06, 2021",POR vs. LAL,W,31,9,19,0.474,6,14,0.429,1,2,0.5,0,3,3,6,2,0,3,3,25,29,1
22021,203081,0022100131,"NOV 05, 2021",POR vs. IND,W,38,2,13,0.154,0,6,0.0,0,0,0.0,0,4,4,11,1,1,2,1,4,-4,1
22021,203081,0022100108,"NOV 03, 2021",POR @ CLE,L,40,10,27,0.37,3,12,0.25,3,5,0.6,0,3,3,8,2,0,1,2,26,5,1
22021,203081,0022100096,"NOV 01, 2021",POR @ PHI,L,36,7,20,0.35,2,9,0.222,4,5,0.8,1,6,7,10,0,0,3,2,20,-14,1
22021,203081,0022100090,"OCT 31, 2021",POR @ CHA,L,38,5,20,0.25,2,14,0.143,2,2,1.0,0,4,4,12,0,0,2,3,14,-6,1
22021,203081,0022100076,"OCT 29, 2021",POR vs. LAC,W,34,9,17,0.529,5,7,0.714,2,2,1.0,1,3,4,6,1,0,6,3,25,9,1
22021,203081,0022100063,"OCT 27, 2021",POR vs. MEM,W,32,6,22,0.273,4,11,0.364,4,4,1.0,0,3,3,10,1,0,2,0,20,16,1
22021,203081,0022100049,"OCT 25, 2021",POR @ LAC,L,28,4,15,0.267,0,8,0.0,4,4,1.0,1,2,3,3,0,0,4,2,12,-22,1
22021,203081,0022100033,"OCT 23, 2021",POR vs. PHX,W,24,6,11,0.545,2,7,0.286,5,5,1.0,0,1,1,8,0,0,2,1,19,18,1
22021,203081,0022100013,"OCT 20, 2021",POR vs. SAC,L,40,8,24,0.333,0,9,0.0,4,5,0.8,0,6,6,11,1,0,1,3,20,-2,1
22020,203081,0022001076,"MAY 16, 2021",POR vs. DEN,W,31,7,13,0.538,5,9,0.556,3,3,1.0,0,3,3,10,0,0,4,2,22,24,1
22020,203081,0022001053,"MAY 13, 2021",POR @ PHX,L,43,16,23,0.696,2,6,0.333,7,8,0.875,0,5,5,5,1,0,3,0,41,-2,1
22020,203081,0022001045,"MAY 12, 2021",POR @ UTA,W,37,10,20,0.5,3,9,0.333,7,8,0.875,0,2,2,6,0,1,1,1,30,5,1
22020,203081,0022001031,"MAY 10, 2021",POR vs. HOU,W,36,11,20,0.55,6,11,0.545,6,6,1.0,2,7,9,6,0,0,2,1,34,19,1
22020,203081,0022001018,"MAY 08, 2021",POR vs. SAS,W,31,8,17,0.471,4,9,0.444,10,10,1.0,1,3,4,8,0,0,0,1,30,17,1
22020,203081,0022001010,"MAY 07, 2021",POR vs. LAL,W,39,12,18,0.667,5,9,0.556,9,9,1.0,0,4,4,7,2,0,4,0,38,8,1
22020,203081,0022000991,"MAY 05, 2021",POR @ CLE,W,31,10,17,0.588,6,10,0.6,6,7,0.857,0,3,3,9,2,0,2,1,32,14,1
22020,203081,0022000978,"MAY 03, 2021",POR @ ATL,L,34,11,19,0.579,6,11,0.545,5,6,0.833,0,2,2,8,2,0,3,0,33,-13,1
22020,203081,0022000968,"MAY 02, 2021",POR @ BOS,W,39,8,18,0.444,3,9,0.333,7,7,1.0,0,6,6,13,1,1,5,3,26,17,1
22020,203081,0022000952,"APR 30, 2021",POR @ BKN,W,36,12,22,0.545,8,13,0.615,0,0,0.0,1,6,7,9,1,0,1,1,32,17,1
22020,203081,0022000939,"APR 28, 2021",POR @ MEM,W,31,6,15,0.4,2,9,0.222,9,9,1.0,0,3,3,5,2,0,3,2,23,15,1
22020,203081,0022000929,"APR 27, 2021",POR @ IND,W,31,6,14,0.429,4,8,0.5,7,7,1.0,0,4,4,6,1,0,3,1,23,32,1
22020,203081,0022000240,"APR 25, 2021",POR vs. MEM,L,37,8,27,0.296,4,10,0.4,3,3,1.0,2,4,6,5,1,1,1,3,23,-10,1
22020,203081,0022000225,"APR 23, 2021",POR vs. MEM,L,37,8,22,0.364,3,11,0.273,8,10,0.8,0,3,3,5,1,0,4,1,27,-5,1
22020,203081,0022000890,"APR 21, 2021",POR vs. DEN,L,37,9,23,0.391,2,10,0.2,2,2,1.0,0,4,4,5,2,0,2,0,22,-5,1
22020,203081,0022000828,"APR 13, 2021",POR vs. BOS,L,37,9,23,0.391,5,13,0.385,5,6,0.833,0,5,5,10,0,0,5,3,28,2,1
22020,203081,0022000814,"APR 11, 2021",POR vs. MIA,L,37,3,10,0.3,3,8,0.375,3,4,0.75,0,1,1,3,1,1,5,1,12,-10,1
22020,203081,0022000804,"APR 10, 2021",POR vs. DET,W,34,9,20,0.45,4,8,0.5,5,6,0.833,0,3,3,10,0,0,1,1,27,20,1
22020,203081,0022000787,"APR 08, 2021",POR @ UTA,L,34,8,21,0.381,3,12,0.25,4,6,0.667,0,5,5,6,0,0,2,3,23,-16,1
22020,203081,0022000775,"APR 06, 2021",POR @ LAC,L,38,2,14,0.143,1,6,0.167,6,7,0.857,2,2,4,6,0,1,2,3,11,-13,1
22020,203081,0022000753,"APR 03, 2021",POR vs. OKC,W,25,6,15,0.4,3,7,0.429,1,1,1.0,1,2,3,6,3,0,3,1,16,42,1
22020,203081,0022000745,"APR 02, 2021",POR vs. MIL,L,34,10,19,0.526,5,10,0.5,7,10,0.7,1,3,4,5,3,1,3,1,32,-27,1
22020,203081,0022000721,"MAR 31, 2021",POR @ DET,W,36,9,19,0.474,5,7,0.714,10,11,0.909,1,3,4,10,1,0,2,2,33,16,1
22020,203081,0022000704,"MAR 28, 2021",POR @ TOR,W,38,7,21,0.333,2,7,0.286,6,6,1.0,1,2,3,11,0,0,2,1,22,-2,1
22020,203081,0022000678,"MAR 25, 2021",POR @ MIA,W,39,6,19,0.316,2,8,0.25,8,8,1.0,0,3,3,9,0,1,2,3,22,10,1
22020,203081,0022000666,"MAR 23, 2021",POR vs. BKN,L,38,5,17,0.294,3,14,0.214,9,9,1.0,0,3,3,9,0,0,3,0,22,7,1
22020,203081,0022000652,"MAR 21, 2021",POR vs. DAL,L,30,7,16,0.438,0,7,0.0,5,5,1.0,0,1,1,4,1,0,0,2,19,-29,1
22020,203081,0022000639,"MAR 19, 2021",POR vs. DAL,W,34,10,19,0.526,4,10,0.4,7,7,1.0,0,3,3,6,0,0,1,1,31,0,1
22020,203081,0022000629,"MAR 18, 2021",POR vs. NOP,W,38,12,22,0.545,6,15,0.4,6,6,1.0,1,5,6,0,0,0,7,0,36,0,1
22020,203081,0022000614,"MAR 16, 2021",POR vs. NOP,W,41,13,20,0.65,6,13,0.462,18,18,1.0,1,5,6,10,0,0,4,3,50,9,1
22020,203081,0022000599,"MAR 14, 2021",POR @ MIN,L,37,12,21,0.571,6,13,0.462,8,9,0.889,2,5,7,4,0,1,5,5,38,-2,1
22020,203081,0022000591,"MAR 13, 2021",POR @ MIN,W,36,7,19,0.368,3,10,0.3,8,9,0.889,0,5,5,10,0,0,2,1,25,-3,1
22020,203081,0022000577,"MAR 11, 2021",POR vs. PHX,L,37,10,23,0.435,5,12,0.417,5,5,1.0,1,6,7,8,2,0,5,1,30,-6,1
22020,203081,0022000558,"MAR 04, 2021",POR vs. SAC,W,38,13,26,0.5,8,15,0.533,10,10,1.0,0,1,1,7,0,1,0,0,44,6,1
22020,203081,0022000550,"MAR 03, 2021",POR vs. GSW,W,36,6,17,0.353,3,10,0.3,7,8,0.875,0,5,5,6,2,0,5,1,22,6,1
22020,203081,0022000535,"MAR 01, 2021",POR vs. CHA,W,35,8,21,0.381,6,15,0.4,1,2,0.5,0,4,4,10,3,0,3,3,23,3,1
22020,203081,0022000512,"FEB 26, 2021",POR @ LAL,L,42,11,24,0.458,5,13,0.385,8,8,1.0,0,3,3,7,0,1,4,2,35,-10,1
22020,203081,0022000487,"FEB 23, 2021",POR @ DEN,L,35,9,21,0.429,4,11,0.364,3,3,1.0,1,6,7,13,0,0,5,2,25,-15,1
22020,203081,0022000477,"FEB 22, 2021",POR @ PHX,L,29,9,17,0.529,1,7,0.143,5,6,0.833,0,0,0,7,0,0,6,0,24,-29,1
22020,203081,0022000464,"FEB 20, 2021",POR vs. WAS,L,39,10,30,0.333,7,17,0.412,8,8,1.0,1,5,6,12,1,0,3,1,35,4,1
22020,203081,0022000441,"FEB 17, 2021",POR @ NOP,W,38,14,28,0.5,7,16,0.438,8,8,1.0,1,3,4,16,1,1,4,1,43,14,1
22020,203081,0022000432,"FEB 16, 2021",POR @ OKC,W,37,12,25,0.48,5,14,0.357,2,3,0.667,2,5,7,10,2,0,3,5,31,17,1
22020,203081,0022000411,"FEB 14, 2021",POR @ DAL,W,36,12,26,0.462,5,11,0.455,5,7,0.714,0,3,3,11,1,0,5,5,34,11,1
22020,203081,0022000404,"FEB 12, 2021",POR vs. CLE,W,30,7,16,0.438,0,6,0.0,6,6,1.0,0,3,3,9,1,0,4,3,20,20,1
22020,203081,0022000394,"FEB 11, 2021",POR vs. PHI,W,36,6,21,0.286,4,11,0.364,14,15,0.933,0,2,2,7,2,0,3,1,30,-8,1
22020,203081,0022000380,"FEB 09, 2021",POR vs. ORL,W,34,9,22,0.409,5,10,0.5,13,13,1.0,1,4,5,2,1,0,2,0,36,10,1
22020,203081,0022000351,"FEB 06, 2021",POR @ NYK,L,38,10,20,0.5,6,12,0.5,3,5,0.6,1,3,4,9,4,0,4,0,29,-6,1
22020,203081,0022000559,"FEB 02, 2021",POR @ WAS,W,39,9,23,0.391,4,14,0.286,10,10,1.0,0,2,2,8,0,1,3,2,32,22,1
22020,203081,0022000316,"FEB 01, 2021",POR @ MIL,L,27,6,13,0.462,2,7,0.286,5,5,1.0,1,2,3,7,1,1,0,0,19,-32,1
22020,203081,0022000298,"JAN 30, 2021",POR @ CHI,W,36,15,26,0.577,8,17,0.471,6,6,1.0,0,5,5,9,1,0,4,2,44,0,1
22020,203081,0022000287,"JAN 28, 2021",POR @ HOU,L,38,11,23,0.478,5,11,0.455,3,4,0.75,0,4,4,9,0,0,4,0,30,1,1
22020,203081,0022000267,"JAN 25, 2021",POR vs. OKC,L,39,8,22,0.364,3,12,0.25,7,8,0.875,2,4,6,10,0,0,3,3,26,0,1
22020,203081,0022000256,"JAN 24, 2021",POR vs. NYK,W,35,11,17,0.647,6,10,0.6,11,11,1.0,1,4,5,8,1,0,3,2,39,2,1
22020,203081,0022000207,"JAN 18, 2021",POR vs. SAS,L,36,10,23,0.435,3,10,0.3,12,12,1.0,0,3,3,6,1,1,5,2,35,-3,1
22020,203081,0022000195,"JAN 16, 2021",POR vs. ATL,W,43,10,23,0.435,4,12,0.333,12,12,1.0,0,7,7,7,1,0,3,3,36,18,1
22020,203081,0022000178,"JAN 14, 2021",POR vs. IND,L,36,7,16,0.438,2,5,0.4,6,6,1.0,2,4,6,4,1,0,5,2,22,-6,1
22020,203081,0022000173,"JAN 13, 2021",POR @ SAC,W,42,11,23,0.478,6,15,0.4,12,12,1.0,0,1,1,13,3,0,0,2,40,9,1
22020,203081,0022000155,"JAN 11, 2021",POR vs. TOR,W,40,8,16,0.5,3,6,0.5,4,4,1.0,0,7,7,5,0,1,8,0,23,9,1
22020,203081,0022000140,"JAN 09, 2021",POR @ SAC,W,30,5,16,0.313,1,7,0.143,6,6,1.0,0,4,4,6,1,0,0,0,17,26,1
22020,203081,0022000122,"JAN 07, 2021",POR vs. MIN,W,29,13,21,0.619,7,12,0.583,6,7,0.857,0,7,7,7,3,0,1,0,39,12,1
22020,203081,0022000106,"JAN 05, 2021",POR vs. CHI,L,37,6,17,0.353,3,11,0.273,9,11,0.818,0,5,5,9,0,0,0,1,24,9,1
22020,203081,0022000092,"JAN 03, 2021",POR @ GSW,L,39,10,24,0.417,6,15,0.4,6,7,0.857,0,4,4,4,0,0,5,3,32,-10,1
22020,203081,0022000078,"JAN 01, 2021",POR @ GSW,W,35,11,21,0.524,6,10,0.6,6,6,1.0,0,4,4,8,1,0,1,3,34,33,1
22020,203081,0022000061,"DEC 30, 2020",POR @ LAC,L,29,3,14,0.214,0,8,0.0,14,15,0.933,1,4,5,4,1,0,4,1,20,-20,1
22020,203081,0022000045,"DEC 28, 2020",POR @ LAL,W,36,10,16,0.625,5,10,0.5,6,6,1.0,0,4,4,5,0,1,5,1,31,-10,1
22020,203081,0022000029,"DEC 26, 2020",POR vs. HOU,W,41,11,28,0.393,5,13,0.385,5,5,1.0,1,4,5,9,1,0,5,1,32,9,1
22020,203081,0022000020,"DEC 23, 2020",POR vs. UTA,L,34,4,12,0.333,1,7,0.143,0,1,0.0,0,4,4,7,1,1,1,1,9,-21,1
22019,203081,0021901309,"AUG 13, 2020",POR @ BKN,W,44,13,22,0.591,8,14,0.571,8,9,0.889,0,3,3,12,2,0,1,1,42,-1,1
22019,203081,0021901300,"AUG 11, 2020",POR @ DAL,W,41,17,32,0.531,9,17,0.529,18,18,1.0,2,3,5,8,1,0,3,2,61,8,1
22019,203081,0021901289,"AUG 09, 2020",POR vs. PHI,W,40,16,28,0.571,4,12,0.333,15,16,0.938,0,3,3,7,2,0,6,1,51,6,1
22019,203081,0021901280,"AUG 08, 2020",POR vs. LAC,L,39,10,23,0.435,2,10,0.2,0,2,0.0,1,2,3,5,1,0,3,2,22,-9,1
22019,203081,0021901272,"AUG 06, 2020",POR @ DEN,W,41,13,21,0.619,11,18,0.611,8,10,0.8,0,4,4,12,3,0,2,2,45,6,1
22019,203081,0021901261,"AUG 04, 2020",POR vs. HOU,W,40,6,19,0.316,3,7,0.429,6,7,0.857,0,9,9,8,2,0,3,1,21,3,1
22019,203081,0021901245,"AUG 02, 2020",POR @ BOS,L,44,8,20,0.4,5,14,0.357,9,9,1.0,0,2,2,16,0,1,5,3,30,3,1
22019,203081,0021901234,"JUL 31, 2020",POR vs. MEM,W,45,10,22,0.455,2,9,0.222,7,9,0.778,0,5,5,9,0,0,3,4,29,2,1
22019,203081,0021900966,"MAR 10, 2020",POR vs. PHX,W,40,8,17,0.471,5,10,0.5,4,4,1.0,0,5,5,7,3,2,2,3,25,23,1
22019,203081,0021900945,"MAR 07, 2020",POR vs. SAC,L,33,4,15,0.267,2,10,0.2,2,4,0.5,0,3,3,6,2,0,1,1,12,-19,1
22019,203081,0021900938,"MAR 06, 2020",POR @ PHX,L,38,6,16,0.375,3,7,0.429,9,10,0.9,0,3,3,6,0,0,4,2,24,-6,1
22019,203081,0021900925,"MAR 04, 2020",POR vs. WAS,W,32,6,12,0.5,4,7,0.571,6,6,1.0,2,2,4,5,2,1,3,1,22,22,1
22019,203081,0021900812,"FEB 12, 2020",POR @ MEM,L,37,7,19,0.368,2,7,0.286,4,4,1.0,2,3,5,10,1,0,4,3,20,-7,1
22019,203081,0021900804,"FEB 11, 2020",POR @ NOP,L,29,6,16,0.375,0,4,0.0,8,9,0.889,1,4,5,6,0,0,3,1,20,-16,1
22019,203081,0021900792,"FEB 09, 2020",POR vs. MIA,W,38,11,23,0.478,6,15,0.4,5,6,0.833,1,3,4,8,1,1,3,2,33,11,1
22019,203081,0021900776,"FEB 07, 2020",POR @ UTA,L,43,16,30,0.533,8,14,0.571,2,3,0.667,1,5,6,6,1,2,4,2,42,6,1
22019,203081,0021900767,"FEB 06, 2020",POR vs. SAS,W,37,9,20,0.45,3,9,0.333,5,5,1.0,0,2,2,10,0,0,7,1,26,-9,1
